"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 24, 2022","44,013.0","42,911.0","44,251.0","42,658.0","491.66M","2.57%"
"Mar 23, 2022","42,912.0","42,373.0","43,027.0","41,795.0","433.96M","1.27%"
"Mar 22, 2022","42,373.0","41,022.0","43,327.9","40,893.0","537.06M","3.29%"
"Mar 21, 2022","41,022.0","41,282.0","41,532.0","40,530.0","406.62M","-0.62%"
"Mar 20, 2022","41,276.0","42,241.0","42,301.0","40,922.0","308.45M","-2.27%"
"Mar 19, 2022","42,233.0","41,768.0","42,386.0","41,529.6","224.59M","1.11%"
"Mar 18, 2022","41,767.8","40,914.6","42,308.4","40,234.8","2.31B","2.08%"
